profile,account_id,region,finding_type,scope,snapshot_id,source_db_instance_id,db_instance_id,aurora_cluster_id,engine,snapshot_create_time,days_old,backup_retention_days,recommended_max_days,storage_gib,remarks
steam-fi,126271034052,us-east-1,manual_snapshot_old,db,final-prod-rds-postgresql-cd3f4250,prod-rds-postgresql,prod-rds-postgresql,,postgres,2025-09-18T18:19:13.612000+00:00,31,,,50,Manual snapshot older than threshold
steam-fi,126271034052,us-east-1,automated_snapshot_active,db,rds:prod-rds-postgresql-2025-10-14-00-05,,prod-rds-postgresql,,postgres,2025-10-14T00:05:21.318000+00:00,6,,,100,Automated snapshot (active)
steam-fi,126271034052,us-east-1,automated_snapshot_active,db,rds:prod-rds-postgresql-2025-10-15-00-05,,prod-rds-postgresql,,postgres,2025-10-15T00:05:22.260000+00:00,5,,,100,Automated snapshot (active)
steam-fi,126271034052,us-east-1,automated_snapshot_active,db,rds:prod-rds-postgresql-2025-10-16-00-05,,prod-rds-postgresql,,postgres,2025-10-16T00:05:22.909000+00:00,4,,,100,Automated snapshot (active)
steam-fi,126271034052,us-east-1,automated_snapshot_active,db,rds:prod-rds-postgresql-2025-10-17-00-05,,prod-rds-postgresql,,postgres,2025-10-17T00:05:24.956000+00:00,3,,,100,Automated snapshot (active)
steam-fi,126271034052,us-east-1,automated_snapshot_active,db,rds:prod-rds-postgresql-2025-10-18-00-05,,prod-rds-postgresql,,postgres,2025-10-18T00:05:29.587000+00:00,2,,,100,Automated snapshot (active)
steam-fi,126271034052,us-east-1,automated_snapshot_active,db,rds:prod-rds-postgresql-2025-10-19-00-05,,prod-rds-postgresql,,postgres,2025-10-19T00:05:12.294000+00:00,1,,,100,Automated snapshot (active)
steam-fi,126271034052,us-east-1,automated_snapshot_active,db,rds:prod-rds-postgresql-2025-10-20-00-05,,prod-rds-postgresql,,postgres,2025-10-20T00:05:22.578000+00:00,0,,,100,Automated snapshot (active)
tea-fi,533267204778,us-east-1,manual_snapshot_old,db,before-update,prod-rds,prod-rds,,postgres,2025-09-18T06:19:39.427000+00:00,31,,,200,Manual snapshot older than threshold
tea-fi,533267204778,us-east-1,automated_snapshot_active,db,rds:prod-rds-2025-10-15-00-07,,prod-rds,,postgres,2025-10-15T00:07:34.568000+00:00,5,,,200,Automated snapshot (active)
tea-fi,533267204778,us-east-1,automated_snapshot_active,db,rds:prod-rds-2025-10-16-00-07,,prod-rds,,postgres,2025-10-16T00:07:28.311000+00:00,4,,,200,Automated snapshot (active)
tea-fi,533267204778,us-east-1,automated_snapshot_active,db,rds:prod-rds-2025-10-17-00-07,,prod-rds,,postgres,2025-10-17T00:07:20.965000+00:00,3,,,200,Automated snapshot (active)
tea-fi,533267204778,us-east-1,automated_snapshot_active,db,rds:prod-rds-2025-10-18-00-07,,prod-rds,,postgres,2025-10-18T00:07:39.572000+00:00,2,,,200,Automated snapshot (active)
tea-fi,533267204778,us-east-1,automated_snapshot_active,db,rds:prod-rds-2025-10-19-00-07,,prod-rds,,postgres,2025-10-19T00:07:35.288000+00:00,1,,,200,Automated snapshot (active)
tea-fi,533267204778,us-east-1,automated_snapshot_active,db,rds:prod-rds-2025-10-20-00-07,,prod-rds,,postgres,2025-10-20T00:07:38.649000+00:00,0,,,200,Automated snapshot (active)
tea-fi,533267204778,us-east-1,backup_retention_disabled,db,,,prod-rds-replica,,postgres,,,0,7,,Automated backups disabled (retention=0)
tea-fi,533267204778,us-east-2,automated_snapshot_active,db,rds:stage-rds-2025-10-14-00-04,,stage-rds,,postgres,2025-10-14T00:04:14.143000+00:00,6,,,50,Automated snapshot (active)
tea-fi,533267204778,us-east-2,automated_snapshot_active,db,rds:stage-rds-2025-10-15-00-04,,stage-rds,,postgres,2025-10-15T00:04:48.821000+00:00,5,,,50,Automated snapshot (active)
tea-fi,533267204778,us-east-2,automated_snapshot_active,db,rds:stage-rds-2025-10-16-00-04,,stage-rds,,postgres,2025-10-16T00:04:24.184000+00:00,4,,,50,Automated snapshot (active)
tea-fi,533267204778,us-east-2,automated_snapshot_active,db,rds:stage-rds-2025-10-17-00-04,,stage-rds,,postgres,2025-10-17T00:04:30.544000+00:00,3,,,50,Automated snapshot (active)
tea-fi,533267204778,us-east-2,automated_snapshot_active,db,rds:stage-rds-2025-10-18-00-04,,stage-rds,,postgres,2025-10-18T00:04:11.847000+00:00,2,,,50,Automated snapshot (active)
tea-fi,533267204778,us-east-2,automated_snapshot_active,db,rds:stage-rds-2025-10-19-00-04,,stage-rds,,postgres,2025-10-19T00:04:29.241000+00:00,1,,,50,Automated snapshot (active)
tea-fi,533267204778,us-east-2,automated_snapshot_active,db,rds:stage-rds-2025-10-20-00-04,,stage-rds,,postgres,2025-10-20T00:04:33.895000+00:00,0,,,50,Automated snapshot (active)
tea-fi,533267204778,us-east-2,backup_retention_disabled,db,,,stage-rds-replica,,postgres,,,0,7,,Automated backups disabled (retention=0)
